timestamp,phase,component,pid,microwatts,watts
2026-06-29T01:00:04,idle,cu_cp1,2072945,618251.4538090259,0.618251
2026-06-29T01:00:04,idle,cu_up1,2072974,618251.4538090259,0.618251
2026-06-29T01:00:04,idle,cu_cp2,2072982,618251.4538090259,0.618251
2026-06-29T01:00:04,idle,cu_up2,2073009,598778.9687369212,0.598779
2026-06-29T01:00:04,idle,du1,2073170,4712341.303017795,4.712341
2026-06-29T01:00:04,idle,du2,2073934,4722077.946603596,4.722078
2026-06-29T01:00:04,idle,du3,2074711,4702605.334884202,4.702605
2026-06-29T01:00:04,idle,du4,2075480,4673396.417305112,4.673396
2026-06-29T01:00:04,idle,ue1,2073234,1358205.886549002,1.358206
2026-06-29T01:00:04,idle,ue2,2073246,1367942.0235456466,1.367942
2026-06-29T01:00:04,idle,ue3,2073258,1324129.069334641,1.324129
2026-06-29T01:00:04,idle,ue4,2073270,1309524.6949766218,1.309525
2026-06-29T01:00:04,idle,ue5,2073998,1333865.2063312859,1.333865
2026-06-29T01:00:04,idle,ue6,2074010,1367942.0235456466,1.367942
2026-06-29T01:00:04,idle,ue7,2074022,1348469.580689305,1.348470
2026-06-29T01:00:04,idle,ue8,2074034,1353337.7336191535,1.353338
2026-06-29T01:00:04,idle,ue9,2074755,1319260.9164047926,1.319261
2026-06-29T01:00:04,idle,ue10,2074767,1304656.5420467735,1.304657
2026-06-29T01:00:04,idle,ue11,2074779,1377678.3294053436,1.377678
2026-06-29T01:00:04,idle,ue12,2074791,1299788.389116925,1.299788
2026-06-29T01:00:04,idle,ue13,2075524,1314392.7634749443,1.314393
2026-06-29T01:00:04,idle,ue14,2075536,1333865.2063312859,1.333865
2026-06-29T01:00:04,idle,ue15,2075548,1285183.9303273796,1.285184
2026-06-29T01:00:04,idle,ue16,2075560,1270579.7248324126,1.270580
2026-06-29T01:00:10,idle,cu_cp1,2072945,625666.5377881143,0.625667
2026-06-29T01:00:10,idle,cu_up1,2072974,620778.5573573473,0.620779
2026-06-29T01:00:10,idle,cu_cp2,2072982,615890.4921761611,0.615890
2026-06-29T01:00:10,idle,cu_up2,2073009,611002.4693701846,0.611002
2026-06-29T01:00:10,idle,du1,2073170,4731603.025170226,4.731603
2026-06-29T01:00:10,idle,du2,2073934,4751155.285894971,4.751155
2026-06-29T01:00:10,idle,du3,2074711,4731603.025170226,4.731603
