timestamp,phase,component,pid,microwatts,watts
2026-06-29T19:23:50,idle,cu_cp1,2568465,337390.67803046224,0.337391
2026-06-29T19:23:50,idle,cu_up1,2568492,344006.166905033,0.344006
2026-06-29T19:23:50,idle,cu_cp2,2568519,347313.92625086545,0.347314
2026-06-29T19:23:50,idle,cu_up2,2568527,344006.166905033,0.344006
2026-06-29T19:23:50,idle,du1,2568709,2933975.830907202,2.933976
2026-06-29T19:23:50,idle,du2,2569477,2986899.7419037675,2.986900
2026-06-29T19:23:50,idle,ue1,2568755,856707.7324594855,0.856708
2026-06-29T19:23:50,idle,ue2,2568767,850092.1541336322,0.850092
2026-06-29T19:23:50,idle,ue3,2568779,853399.8836623705,0.853400
2026-06-29T19:23:50,idle,ue4,2568791,846784.4246048939,0.846784
2026-06-29T19:23:50,idle,ue5,2569540,850092.1541336322,0.850092
2026-06-29T19:23:50,idle,ue6,2569552,840168.905913229,0.840169
2026-06-29T19:23:50,idle,ue7,2569564,850092.1541336322,0.850092
2026-06-29T19:23:50,idle,ue8,2569576,810399.1612520195,0.810399
2026-06-29T19:23:55,idle,cu_cp1,2568465,352650.93392139045,0.352651
2026-06-29T19:23:55,idle,cu_up1,2568492,344449.74453035207,0.344450
2026-06-29T19:23:55,idle,cu_cp2,2568519,336248.5551393136,0.336249
2026-06-29T19:23:55,idle,cu_up2,2568527,336248.5551393136,0.336249
2026-06-29T19:23:55,idle,du1,2568709,2952426.5016277386,2.952427
2026-06-29T19:23:55,idle,du2,2569477,3157456.236403699,3.157456
2026-06-29T19:23:55,idle,ue1,2568755,861124.4063030076,0.861124
2026-06-29T19:23:55,idle,ue2,2568767,820118.4593478155,0.820118
2026-06-29T19:23:55,idle,ue3,2568779,852923.2169119692,0.852923
2026-06-29T19:23:55,idle,ue4,2568791,787313.7617531652,0.787314
2026-06-29T19:23:55,idle,ue5,2569540,828319.648738854,0.828320
2026-06-29T19:23:55,idle,ue6,2569552,861124.4063030076,0.861124
2026-06-29T19:23:55,idle,ue7,2569564,852923.2169119692,0.852923
2026-06-29T19:23:55,idle,ue8,2569576,787313.7617531652,0.787314
2026-06-29T19:24:01,idle,cu_cp1,2568465,335469.60519635084,0.335470
2026-06-29T19:24:01,idle,cu_up1,2568492,348888.39540766773,0.348888
2026-06-29T19:24:01,idle,cu_cp2,2568519,342179.0153106666,0.342179
2026-06-29T19:24:01,idle,cu_up2,2568527,355597.77550466894,0.355598
2026-06-29T19:24:01,idle,du1,2568709,3046063.907120533,3.046064
2026-06-29T19:24:01,idle,du2,2569477,3012517.0366528416,3.012517
2026-06-29T19:24:01,idle,ue1,2568755,858802.2133165097,0.858802
2026-06-29T19:24:01,idle,ue2,2568767,798417.7023915553,0.798418
2026-06-29T19:24:01,idle,ue3,2568779,878930.3235901988,0.878930
2026-06-29T19:24:01,idle,ue4,2568791,778289.4720486081,0.778289
2026-06-29T19:24:01,idle,ue5,2569540,838674.0430081916,0.838674
2026-06-29T19:24:01,idle,ue6,2569552,858802.2133165097,0.858802
2026-06-29T19:24:01,idle,ue7,2569564,858802.2133165097,0.858802
2026-06-29T19:24:01,idle,ue8,2569576,818545.8126652443,0.818546
2026-06-29T19:24:06,idle,cu_cp1,2568465,343448.10414850205,0.343448
2026-06-29T19:24:06,idle,cu_up1,2568492,349078.41277288017,0.349078
2026-06-29T19:24:06,idle,cu_cp2,2568519,343448.10414850205,0.343448
2026-06-29T19:24:06,idle,cu_up2,2568527,349078.41277288017,0.349078
2026-06-29T19:24:06,idle,du1,2568709,3062881.394214628,3.062881
2026-06-29T19:24:06,idle,du2,2569477,3023469.3240863015,3.023469
2026-06-29T19:24:06,idle,ue1,2568755,793871.8615947742,0.793872
2026-06-29T19:24:06,idle,ue2,2568767,850174.7673539143,0.850175
2026-06-29T19:24:06,idle,ue3,2568779,872696.0018514269,0.872696
2026-06-29T19:24:06,idle,ue4,2568791,861435.3244411236,0.861435
2026-06-29T19:24:06,idle,ue5,2569540,850174.7673539143,0.850175
2026-06-29T19:24:06,idle,ue6,2569552,867065.7233078224,0.867066
2026-06-29T19:24:06,idle,ue7,2569564,850174.7673539143,0.850175
2026-06-29T19:24:06,idle,ue8,2569576,867065.7233078224,0.867066
2026-06-29T19:24:12,idle,cu_cp1,2568465,330151.5981284338,0.330152
