timestamp,phase,component,pid,microwatts,watts
2026-06-23T04:44:26,idle,cu_cp,3475611,298403.51221657096,0.298404
2026-06-23T04:44:26,idle,cu_up,3475619,305343.1115650958,0.305343
2026-06-23T04:44:26,idle,du1,3475775,2734208.9762111213,2.734209
2026-06-23T04:44:26,idle,du2,3476392,2734208.9762111213,2.734209
2026-06-23T04:44:26,idle,du3,3477006,2685631.43912683,2.685631
2026-06-23T04:44:26,idle,du4,3477648,2713389.8365209294,2.713390
2026-06-23T04:44:26,idle,ue1,3475817,645384.3337543547,0.645384
2026-06-23T04:44:26,idle,ue5,3476454,680082.3874377483,0.680082
2026-06-23T04:44:26,idle,ue9,3477068,680082.3874377483,0.680082
2026-06-23T04:44:26,idle,ue13,3477708,645384.3337543547,0.645384
2026-06-23T04:44:31,idle,cu_cp,3475611,296251.91783267853,0.296252
2026-06-23T04:44:31,idle,cu_up,3475619,296251.91783267853,0.296252
2026-06-23T04:44:31,idle,du1,3475775,2690451.033989477,2.690451
2026-06-23T04:44:31,idle,du2,3476392,2684405.1120336056,2.684405
2026-06-23T04:44:31,idle,du3,3477006,2756956.6324207783,2.756957
2026-06-23T04:44:31,idle,du4,3477648,2720680.872227192,2.720681
2026-06-23T04:44:31,idle,ue1,3475817,640871.4968852758,0.640871
2026-06-23T04:44:31,idle,ue5,3476454,677147.199964273,0.677147
2026-06-23T04:44:31,idle,ue9,3477068,695285.1371756553,0.695285
2026-06-23T04:44:31,idle,ue13,3477708,628779.5958589434,0.628780
2026-06-23T04:44:36,idle,cu_cp,3475611,293099.20153647603,0.293099
2026-06-23T04:44:36,idle,cu_up,3475619,298428.2981495592,0.298428
2026-06-23T04:44:36,idle,du1,3475775,2707170.9272107887,2.707171
2026-06-23T04:44:36,idle,du2,3476392,2781778.2227589227,2.781778
2026-06-23T04:44:36,idle,du3,3477006,2760461.7222365285,2.760462
2026-06-23T04:44:36,idle,du4,3477648,2701841.8020801903,2.701842
2026-06-23T04:44:36,idle,ue1,3475817,676792.7318026972,0.676793
2026-06-23T04:44:36,idle,ue5,3476454,655476.4023853951,0.655476
2026-06-23T04:44:36,idle,ue9,3477068,639489.1980986916,0.639489
2026-06-23T04:44:36,idle,ue13,3477708,607514.7324902541,0.607515
2026-06-23T04:44:42,idle,cu_cp,3475611,295874.74757273257,0.295875
2026-06-23T04:44:42,idle,cu_up,3475619,295874.74757273257,0.295875
2026-06-23T04:44:42,idle,du1,3475775,2710594.461634066,2.710594
2026-06-23T04:44:42,idle,du2,3476392,2724911.181734283,2.724911
2026-06-23T04:44:42,idle,du3,3477006,2739227.6731986427,2.739228
2026-06-23T04:44:42,idle,du4,3477648,2720139.094124782,2.720139
2026-06-23T04:44:42,idle,ue1,3475817,696737.36595927,0.696737
2026-06-23T04:44:42,idle,ue5,3476454,649015.632479797,0.649016
2026-06-23T04:44:42,idle,ue9,3477068,629926.9390880078,0.629927
2026-06-23T04:44:42,idle,ue13,3477708,668104.2687126219,0.668104
2026-06-23T04:44:47,idle,cu_cp,3475611,306349.0850007212,0.306349
2026-06-23T04:44:47,idle,cu_up,3475619,315271.89229941845,0.315272
2026-06-23T04:44:47,idle,du1,3475775,2774987.5232981015,2.774988
2026-06-23T04:44:47,idle,du2,3476392,2736322.05374259,2.736322
2026-06-23T04:44:47,idle,du3,3477006,2751193.3705015755,2.751193
2026-06-23T04:44:47,idle,du4,3477648,2754167.725817671,2.754168
2026-06-23T04:44:47,idle,ue1,3475817,725720.165874195,0.725720
2026-06-23T04:44:47,idle,ue5,3476454,675157.677398107,0.675158
2026-06-23T04:44:47,idle,ue9,3477068,624595.2463997054,0.624595
2026-06-23T04:44:47,idle,ue13,3477708,672183.4370373845,0.672183
2026-06-23T04:44:52,idle,cu_cp,3475611,299294.96694950224,0.299295
2026-06-23T04:44:52,idle,cu_up,3475619,302258.2666879791,0.302258
2026-06-23T04:44:52,idle,du1,3475775,2723287.814734583,2.723288
2026-06-23T04:44:52,idle,du2,3476392,2744031.1138114356,2.744031
2026-06-23T04:44:52,idle,du3,3477006,2767737.5117192506,2.767738
2026-06-23T04:44:52,idle,du4,3477648,2758847.7560091875,2.758848
2026-06-23T04:44:52,idle,ue1,3475817,687489.4426726341,0.687489
2026-06-23T04:44:52,idle,ue5,3476454,696379.3705891382,0.696379
2026-06-23T04:44:52,idle,ue9,3477068,631186.4319297648,0.631186
2026-06-23T04:44:52,idle,ue13,3477708,672672.8578770292,0.672673
2026-06-23T04:44:58,idle,cu_cp,3475611,301427.9032817137,0.301428
2026-06-23T04:44:58,idle,cu_up,3475619,310293.42984882294,0.310293
2026-06-23T04:44:58,idle,du1,3475775,2724671.888936286,2.724672
2026-06-23T04:44:58,idle,du2,3476392,2730582.297292409,2.730582
2026-06-23T04:44:58,idle,du3,3477006,2763089.084760017,2.763089
2026-06-23T04:44:58,idle,du4,3477648,2718761.480580163,2.718761
2026-06-23T04:44:58,idle,ue1,3475817,676735.1659669792,0.676735
2026-06-23T04:44:58,idle,ue5,3476454,715152.4764134777,0.715152
2026-06-23T04:44:58,idle,ue9,3477068,656048.9659660828,0.656049
2026-06-23T04:44:58,idle,ue13,3477708,647183.4107432818,0.647183
2026-06-23T04:45:03,idle,cu_cp,3475611,315542.7982457089,0.315543
2026-06-23T04:45:03,idle,cu_up,3475619,321496.4364935434,0.321496
2026-06-23T04:45:03,idle,du1,3475775,2762487.9158790493,2.762488
2026-06-23T04:45:03,idle,du2,3476392,2762487.9158790493,2.762488
2026-06-23T04:45:03,idle,du3,3477006,2810117.021861725,2.810117
2026-06-23T04:45:03,idle,du4,3477648,2744627.0300250626,2.744627
2026-06-23T04:45:03,idle,ue1,3475817,663830.6501887823,0.663831
2026-06-23T04:45:03,idle,ue5,3476454,729320.6420254445,0.729321
2026-06-23T04:45:03,idle,ue9,3477068,696575.6461071133,0.696576
2026-06-23T04:45:03,idle,ue13,3477708,681691.536042769,0.681692
2026-06-23T04:45:08,idle,cu_cp,3475611,314644.15869624587,0.314644
2026-06-23T04:45:08,idle,cu_up,3475619,320694.9906545332,0.320695
2026-06-23T04:45:08,idle,du1,3475775,2792466.846950512,2.792467
2026-06-23T04:45:08,idle,du2,3476392,2798517.6210465217,2.798518
2026-06-23T04:45:08,idle,du3,3477006,2804568.3951425315,2.804568
2026-06-23T04:45:08,idle,du4,3477648,2741034.4570625424,2.741034
2026-06-23T04:45:08,idle,ue1,3475817,656517.0901359236,0.656517
2026-06-23T04:45:08,idle,ue5,3476454,735178.1370427698,0.735178
2026-06-23T04:45:08,idle,ue9,3477068,695847.5846582078,0.695848
2026-06-23T04:45:08,idle,ue13,3477708,671644.1989627809,0.671644
2026-06-23T04:45:14,idle,cu_cp,3475611,312655.7888260335,0.312656
2026-06-23T04:45:14,idle,cu_up,3475619,303084.69766732154,0.303085
2026-06-23T04:45:14,idle,du1,3475775,2724571.7709782124,2.724572
2026-06-23T04:45:14,idle,du2,3476392,2794759.7728087665,2.794760
2026-06-23T04:45:14,idle,du3,3477006,2762856.13561306,2.762856
2026-06-23T04:45:14,idle,du4,3477648,2746904.4324616957,2.746904
2026-06-23T04:45:14,idle,ue1,3475817,708261.0343609035,0.708261
2026-06-23T04:45:14,idle,ue5,3476454,727403.2744015717,0.727403
2026-06-23T04:45:14,idle,ue9,3477068,666786.3060064852,0.666786
2026-06-23T04:45:14,idle,ue13,3477708,654024.8511282026,0.654025
2026-06-23T04:45:19,idle,cu_cp,3475611,301719.7691637933,0.301720
2026-06-23T04:45:19,idle,cu_up,3475619,304895.75493845344,0.304896
2026-06-23T04:45:19,idle,du1,3475775,2737709.8516293527,2.737710
2026-06-23T04:45:19,idle,du2,3476392,2782173.882335329,2.782174
2026-06-23T04:45:19,idle,du3,3477006,2763117.7378266333,2.763118
2026-06-23T04:45:19,idle,du4,3477648,2702773.7782473564,2.702774
2026-06-23T04:45:19,idle,ue1,3475817,705071.4279078126,0.705071
2026-06-23T04:45:19,idle,ue5,3476454,689191.4415693283,0.689191
2026-06-23T04:45:19,idle,ue9,3477068,670135.469456184,0.670135
2026-06-23T04:45:19,idle,ue13,3477708,670135.469456184,0.670135
2026-06-23T04:45:24,idle,cu_cp,3475611,302402.4175523281,0.302402
2026-06-23T04:45:24,idle,cu_up,3475619,299219.21147098066,0.299219
2026-06-23T04:45:24,idle,du1,3475775,2775735.656504669,2.775736
2026-06-23T04:45:24,idle,du2,3476392,2737537.5291566085,2.737538
2026-06-23T04:45:24,idle,du3,3477006,2747087.2338076783,2.747087
2026-06-23T04:45:24,idle,du4,3477648,2756636.4776212694,2.756636
2026-06-23T04:45:24,idle,ue1,3475817,697117.1490098572,0.697117
2026-06-23T04:45:24,idle,ue5,3476454,687567.5595681572,0.687568
2026-06-23T04:45:24,idle,ue9,3477068,674834.850452137,0.674835
2026-06-23T04:45:24,idle,ue13,3477708,674834.850452137,0.674835
2026-06-23T04:45:30,idle,cu_cp,3475611,312160.56239643873,0.312161
2026-06-23T04:45:30,idle,cu_up,3475619,312160.56239643873,0.312161
2026-06-23T04:45:30,idle,du1,3475775,2771221.352759757,2.771221
2026-06-23T04:45:30,idle,du2,3476392,2768035.863563323,2.768036
2026-06-23T04:45:30,idle,du3,3477006,2745738.822579656,2.745739
2026-06-23T04:45:30,idle,du4,3477648,2720256.292399554,2.720256
2026-06-23T04:45:30,idle,ue1,3475817,684842.018688004,0.684842
2026-06-23T04:45:30,idle,ue5,3476454,697583.2837780548,0.697583
2026-06-23T04:45:30,idle,ue9,3477068,681656.7600567985,0.681657
2026-06-23T04:45:30,idle,ue13,3477708,640247.6485141336,0.640248
2026-06-23T04:45:35,idle,cu_cp,3475611,306124.1403964877,0.306124
2026-06-23T04:45:35,idle,cu_up,3475619,302935.31572175026,0.302935
2026-06-23T04:45:35,idle,du1,3475775,2751928.554260445,2.751929
2026-06-23T04:45:35,idle,du2,3476392,2761494.7687093737,2.761495
2026-06-23T04:45:35,idle,du3,3477006,2745550.8472275734,2.745551
2026-06-23T04:45:35,idle,du4,3477648,2774249.9520415305,2.774250
2026-06-23T04:45:35,idle,ue1,3475817,698345.6529182434,0.698346
2026-06-23T04:45:35,idle,ue5,3476454,663268.9564382076,0.663269
2026-06-23T04:45:35,idle,ue9,3477068,685590.5272694826,0.685591
2026-06-23T04:45:35,idle,ue13,3477708,653702.5689390898,0.653703
2026-06-23T04:45:40,idle,cu_cp,3475611,305854.5113255358,0.305855
2026-06-23T04:45:40,idle,cu_up,3475619,315412.47201185644,0.315412
2026-06-23T04:45:40,idle,du1,3475775,2774992.7120050383,2.774993
2026-06-23T04:45:40,idle,du2,3476392,2717644.890227933,2.717645
2026-06-23T04:45:40,idle,du3,3477006,2733574.9688530876,2.733575
2026-06-23T04:45:40,idle,du4,3477648,2781364.7434551,2.781365
