timestamp,phase,component,pid,microwatts,watts
2026-06-22T19:00:15,idle,cu_cp,2877946,211670.22958322256,0.211670
2026-06-22T19:00:15,idle,cu_up,2877954,216650.71075405955,0.216651
2026-06-22T19:00:15,idle,du1,2878134,2129153.5335241626,2.129154
2026-06-22T19:00:15,idle,ue1,2878176,505518.3405438477,0.505518
2026-06-22T19:00:15,idle,ue2,2878185,532910.9058654803,0.532911
2026-06-22T19:00:15,idle,ue3,2878194,520459.76087979553,0.520460
2026-06-22T19:00:15,idle,ue4,2878203,590186.404565261,0.590186
2026-06-22T19:00:20,idle,cu_cp,2877946,212727.49010930388,0.212727
2026-06-22T19:00:20,idle,cu_up,2877954,215230.18669415714,0.215230
2026-06-22T19:00:20,idle,du1,2878134,2167317.814071877,2.167318
2026-06-22T19:00:20,idle,ue1,2878176,508043.34009596764,0.508043
2026-06-22T19:00:20,idle,ue2,2878185,593134.3733202994,0.593134
2026-06-22T19:00:20,idle,ue3,2878194,525562.1000005335,0.525562
2026-06-22T19:00:20,idle,ue4,2878203,608150.3669263679,0.608150
2026-06-22T19:00:25,idle,cu_cp,2877946,220326.64833438725,0.220327
2026-06-22T19:00:25,idle,cu_up,2877954,220326.64833438725,0.220327
2026-06-22T19:00:25,idle,du1,2878134,2180074.179967508,2.180074
2026-06-22T19:00:25,idle,ue1,2878176,521826.28836372733,0.521826
2026-06-22T19:00:25,idle,ue2,2878185,585605.0642134607,0.585605
2026-06-22T19:00:25,idle,ue3,2878194,521826.28836372733,0.521826
2026-06-22T19:00:25,idle,ue4,2878203,521826.28836372733,0.521826
2026-06-22T19:00:31,idle,cu_cp,2877946,221539.5944557187,0.221540
2026-06-22T19:00:31,idle,cu_up,2877954,216387.5162938285,0.216388
2026-06-22T19:00:31,idle,du1,2878134,2148418.7650065063,2.148419
2026-06-22T19:00:31,idle,ue1,2878176,546120.8455470174,0.546121
2026-06-22T19:00:31,idle,ue2,2878185,571881.2597059124,0.571881
2026-06-22T19:00:31,idle,ue3,2878194,551272.9470583516,0.551273
2026-06-22T19:00:31,idle,ue4,2878203,566729.1581945783,0.566729
2026-06-22T19:00:36,idle,cu_cp,2877946,214082.4599132076,0.214082
2026-06-22T19:00:36,idle,cu_up,2877954,223390.41529961527,0.223390
2026-06-22T19:00:36,idle,du1,2878134,2178056.3739527822,2.178056
2026-06-22T19:00:36,idle,ue1,2878176,525898.2294403047,0.525898
2026-06-22T19:00:36,idle,ue2,2878185,586399.8109584122,0.586400
2026-06-22T19:00:36,idle,ue3,2878194,525898.2294403047,0.525898
2026-06-22T19:00:36,idle,ue4,2878203,539860.150838685,0.539860
2026-06-22T19:00:41,idle,cu_cp,2877946,210590.2118576935,0.210590
2026-06-22T19:00:41,idle,cu_up,2877954,223483.49732918173,0.223483
2026-06-22T19:00:41,idle,du1,2878134,2226239.4966481375,2.226239
2026-06-22T19:00:41,idle,ue1,2878176,558708.7550739491,0.558709
2026-06-22T19:00:41,idle,ue2,2878185,588793.087840755,0.588793
2026-06-22T19:00:41,idle,ue3,2878194,515731.13683565496,0.515731
2026-06-22T19:00:41,idle,ue4,2878203,528624.4693111223,0.528624
2026-06-22T19:00:47,idle,cu_cp,2877946,215934.67035623788,0.215935
2026-06-22T19:00:47,idle,cu_up,2877954,219860.76677751838,0.219861
2026-06-22T19:00:47,idle,du1,2878134,2226090.1317860843,2.226090
2026-06-22T19:00:47,idle,ue1,2878176,569282.3170187294,0.569282
2026-06-22T19:00:47,idle,ue2,2878185,569282.3170187294,0.569282
2026-06-22T19:00:47,idle,ue3,2878194,522169.30058873893,0.522169
2026-06-22T19:00:47,idle,ue4,2878203,573208.3900024474,0.573208
2026-06-22T19:00:52,idle,cu_cp,2877946,212708.32683180363,0.212708
2026-06-22T19:00:52,idle,cu_up,2877954,222268.2854471451,0.222268
2026-06-22T19:00:52,idle,du1,2878134,2131863.4225930427,2.131863
2026-06-22T19:00:52,idle,ue1,2878176,573595.5106283707,0.573596
2026-06-22T19:00:52,idle,ue2,2878185,575985.5177789396,0.575986
2026-06-22T19:00:52,idle,ue3,2878194,511456.0245829213,0.511456
2026-06-22T19:00:52,idle,ue4,2878203,564035.6219999635,0.564036
2026-06-22T19:00:57,idle,cu_cp,2877946,219259.51549570114,0.219260
2026-06-22T19:00:57,idle,cu_up,2877954,219259.51549570114,0.219260
2026-06-22T19:00:57,idle,du1,2878134,2185445.437033224,2.185445
2026-06-22T19:00:57,idle,ue1,2878176,550532.0552341342,0.550532
2026-06-22T19:00:57,idle,ue2,2878185,583897.6230407596,0.583898
2026-06-22T19:00:57,idle,ue3,2878194,543382.290704143,0.543382
2026-06-22T19:00:57,idle,ue4,2878203,560065.0746074558,0.560065
2026-06-22T19:01:02,idle,cu_cp,2877946,216309.9790357411,0.216310
2026-06-22T19:01:02,idle,cu_up,2877954,218687.0066631198,0.218687
2026-06-22T19:01:02,idle,du1,2878134,2160722.716235604,2.160723
2026-06-22T19:01:02,idle,ue1,2878176,560979.7289164996,0.560980
2026-06-22T19:01:02,idle,ue2,2878185,584750.0516847145,0.584750
2026-06-22T19:01:02,idle,ue3,2878194,563356.7565438783,0.563357
2026-06-22T19:01:02,idle,ue4,2878203,551471.6184069848,0.551472
2026-06-22T19:01:08,idle,cu_cp,2877946,214307.55737323762,0.214308
2026-06-22T19:01:08,idle,cu_up,2877954,211899.6057062149,0.211900
2026-06-22T19:01:08,idle,du1,2878134,2236985.4067626954,2.236985
2026-06-22T19:01:08,idle,ue1,2878176,577907.9771100997,0.577908
2026-06-22T19:01:08,idle,ue2,2878185,580315.9287771225,0.580316
2026-06-22T19:01:08,idle,ue3,2878194,539380.7504377365,0.539381
2026-06-22T19:01:08,idle,ue4,2878203,575500.0254430771,0.575500
2026-06-22T19:01:13,idle,cu_cp,2877946,222818.89005318523,0.222819
2026-06-22T19:01:13,idle,cu_up,2877954,220422.9764144051,0.220423
2026-06-22T19:01:13,idle,du1,2878134,2213813.5124690295,2.213814
2026-06-22T19:01:13,idle,ue1,2878176,589391.8482743144,0.589392
2026-06-22T19:01:13,idle,ue2,2878185,519910.72782912257,0.519911
2026-06-22T19:01:13,idle,ue3,2878194,565432.8525413,0.565433
