timestamp,phase,component,pid,microwatts,watts
2026-06-22T18:42:05,idle,cu_cp,2857630,215079.6408798516,0.215080
2026-06-22T18:42:05,idle,cu_up,2857659,222582.42496799678,0.222582
2026-06-22T18:42:05,idle,du1,2857820,2198314.0953353522,2.198314
2026-06-22T18:42:05,idle,ue1,2857883,545201.9094214529,0.545202
2026-06-22T18:42:05,idle,ue2,2857892,600222.264378041,0.600222
2026-06-22T18:42:05,idle,ue3,2857901,577713.9352472841,0.577714
2026-06-22T18:42:05,idle,ue4,2857910,595220.3928968251,0.595220
2026-06-22T18:42:10,idle,cu_cp,2857630,224407.13112448782,0.224407
2026-06-22T18:42:10,idle,cu_up,2857659,230640.65797003807,0.230641
2026-06-22T18:42:10,idle,du1,2857820,2219137.1568099116,2.219137
2026-06-22T18:42:10,idle,ue1,2857883,585951.9469566118,0.585952
2026-06-22T18:42:10,idle,ue2,2857892,604652.5510196453,0.604653
2026-06-22T18:42:10,idle,ue3,2857901,598419.0006477124,0.598419
2026-06-22T18:42:10,idle,ue4,2857910,498682.524066143,0.498683
2026-06-22T18:42:16,idle,cu_cp,2857630,208086.23484056472,0.208086
2026-06-22T18:42:16,idle,cu_up,2857659,229990.05513827325,0.229990
2026-06-22T18:42:16,idle,du1,2857820,2195857.4571575164,2.195857
2026-06-22T18:42:16,idle,ue1,2857883,531167.4856527329,0.531167
2026-06-22T18:42:16,idle,ue2,2857892,547595.3450772476,0.547595
2026-06-22T18:42:16,idle,ue3,2857901,607830.8450971794,0.607831
2026-06-22T18:42:16,idle,ue4,2857910,509263.68855009077,0.509264
2026-06-22T18:42:21,idle,cu_cp,2857630,219671.46023946762,0.219671
2026-06-22T18:42:21,idle,cu_up,2857659,224553.05439734817,0.224553
2026-06-22T18:42:21,idle,du1,2857820,2177188.4103399254,2.177188
2026-06-22T18:42:21,idle,ue1,2857883,541856.305506041,0.541856
2026-06-22T18:42:21,idle,ue2,2857892,551619.4476776093,0.551619
2026-06-22T18:42:21,idle,ue3,2857901,615080.0794416708,0.615080
2026-06-22T18:42:21,idle,ue4,2857910,541856.305506041,0.541856
2026-06-22T18:42:26,idle,cu_cp,2857630,218522.84324008942,0.218523
2026-06-22T18:42:26,idle,cu_up,2857659,231901.7918736744,0.231902
2026-06-22T18:42:26,idle,du1,2857820,2247663.5571406935,2.247664
2026-06-22T18:42:26,idle,ue1,2857883,584214.1214496136,0.584214
2026-06-22T18:42:26,idle,ue2,2857892,566375.5543879032,0.566376
2026-06-22T18:42:26,idle,ue3,2857901,588673.7865523434,0.588674
2026-06-22T18:42:26,idle,ue4,2857910,593133.4516550732,0.593133
2026-06-22T18:42:37,idle,cu_cp,2857630,215250.00483773826,0.215250
2026-06-22T18:42:37,idle,cu_up,2857659,225034.09702327132,0.225034
2026-06-22T18:42:37,idle,du1,2857820,2223434.612124548,2.223435
2026-06-22T18:42:37,idle,ue1,2857883,557693.2080874061,0.557693
2026-06-22T18:42:37,idle,ue2,2857892,582153.41530725,0.582153
2026-06-22T18:42:37,idle,ue3,2857901,518556.83934527397,0.518557
2026-06-22T18:42:37,idle,ue4,2857910,555247.1966630173,0.555247
2026-06-22T18:42:42,idle,cu_cp,2857630,221135.25318528415,0.221135
2026-06-22T18:42:42,idle,cu_up,2857659,228346.1838314581,0.228346
2026-06-22T18:42:42,idle,du1,2857820,2206545.244755392,2.206545
2026-06-22T18:42:42,idle,ue1,2857883,545627.1789657283,0.545627
2026-06-22T18:42:42,idle,ue2,2857892,584085.5224479389,0.584086
2026-06-22T18:42:42,idle,ue3,2857901,552838.1096119023,0.552838
2026-06-22T18:42:42,idle,ue4,2857910,560049.0402580762,0.560049
2026-06-22T18:42:47,idle,cu_cp,2857630,220404.19071274996,0.220404
2026-06-22T18:42:47,idle,cu_up,2857659,222799.88919789792,0.222800
2026-06-22T18:42:47,idle,du1,2857820,2201646.2785632135,2.201646
2026-06-22T18:42:47,idle,ue1,2857883,522262.1299205303,0.522262
2026-06-22T18:42:47,idle,ue2,2857892,565384.6560392857,0.565385
2026-06-22T18:42:47,idle,ue3,2857901,551010.5117423057,0.551011
2026-06-22T18:42:47,idle,ue4,2857910,551010.5117423057,0.551011
2026-06-22T18:42:52,idle,cu_cp,2857630,220818.8859415555,0.220819
2026-06-22T18:42:52,idle,cu_up,2857659,225619.28585025072,0.225619
2026-06-22T18:42:52,idle,du1,2857820,2236991.212187576,2.236991
2026-06-22T18:42:52,idle,ue1,2857883,588050.2958593655,0.588050
2026-06-22T18:42:52,idle,ue2,2857892,576049.2494074773,0.576049
2026-06-22T18:42:52,idle,ue3,2857901,540046.1567319632,0.540046
2026-06-22T18:42:52,idle,ue4,2857910,564048.2029555893,0.564048
2026-06-22T18:42:58,idle,cu_cp,2857630,220376.86387918264,0.220377
2026-06-22T18:42:58,idle,cu_up,2857659,225167.67390608668,0.225168
2026-06-22T18:42:58,idle,du1,2857820,2210954.8888932182,2.210955
2026-06-22T18:42:58,idle,ue1,2857883,615617.9314429951,0.615618
2026-06-22T18:42:58,idle,ue2,2857892,589268.5814781296,0.589269
2026-06-22T18:42:58,idle,ue3,2857901,562919.1847652167,0.562919
2026-06-22T18:42:58,idle,ue4,2857910,591663.951430546,0.591664
2026-06-22T18:43:03,idle,cu_cp,2857630,218426.55280667247,0.218427
2026-06-22T18:43:03,idle,cu_up,2857659,228027.6908939612,0.228028
2026-06-22T18:43:03,idle,du1,2857820,2208268.1743034506,2.208268
2026-06-22T18:43:03,idle,ue1,2857883,583270.8535550928,0.583271
2026-06-22T18:43:03,idle,ue2,2857892,544866.2075675869,0.544866
2026-06-22T18:43:03,idle,ue3,2857901,518462.9549272072,0.518463
2026-06-22T18:43:03,idle,ue4,2857910,561668.2050727392,0.561668
2026-06-22T18:43:08,idle,cu_cp,2857630,220696.15273326248,0.220696
2026-06-22T18:43:08,idle,cu_up,2857659,225493.9017901665,0.225494
2026-06-22T18:43:08,idle,du1,2857820,2233349.1120820213,2.233349
2026-06-22T18:43:08,idle,ue1,2857883,585324.5434164745,0.585325
2026-06-22T18:43:08,idle,ue2,2857892,575729.0920541006,0.575729
2026-06-22T18:43:08,idle,ue3,2857901,546942.5977126765,0.546943
2026-06-22T18:43:08,idle,ue4,2857910,549341.5073047042,0.549342
2026-06-22T18:43:13,idle,cu_cp,2857630,221372.87035750865,0.221373
2026-06-22T18:43:13,idle,cu_up,2857659,223779.1047971177,0.223779
2026-06-22T18:43:13,idle,du1,2857820,2201697.5081074904,2.201698
2026-06-22T18:43:13,idle,ue1,2857883,601556.701799097,0.601557
2026-06-22T18:43:13,idle,ue2,2857892,599150.4906290388,0.599150
2026-06-22T18:43:13,idle,ue3,2857901,558244.6215034389,0.558245
2026-06-22T18:43:13,idle,ue4,2857910,517338.75237783906,0.517339
2026-06-22T18:43:19,idle,cu_cp,2857630,220995.02807545065,0.220995
2026-06-22T18:43:19,idle,cu_up,2857659,223506.33785377146,0.223506
2026-06-22T18:43:19,idle,du1,2857820,2222506.8296461105,2.222507
2026-06-22T18:43:19,idle,ue1,2857883,524863.1858687758,0.524863
2026-06-22T18:43:19,idle,ue2,2857892,534908.424982059,0.534908
2026-06-22T18:43:19,idle,ue3,2857901,592668.5034000814,0.592669
2026-06-22T18:43:19,idle,ue4,2857910,509795.3271988511,0.509795
2026-06-22T18:43:24,idle,cu_cp,2857630,220378.47755576135,0.220378
2026-06-22T18:43:24,idle,cu_up,2857659,225444.65860499383,0.225445
2026-06-22T18:43:24,idle,du1,2857820,2229115.540302887,2.229116
