timestamp,phase,component,pid,microwatts,watts
2026-06-22T22:34:31,idle,cu_cp,3091903,324494.0040975952,0.324494
2026-06-22T22:34:31,idle,cu_up,3091911,317283.0157559681,0.317283
2026-06-22T22:34:31,idle,du1,3092092,2985344.6963151884,2.985345
2026-06-22T22:34:31,idle,du2,3092853,2927657.025219984,2.927657
2026-06-22T22:34:31,idle,ue1,3092136,822051.4927564287,0.822051
2026-06-22T22:34:31,idle,ue2,3092145,807629.5749826276,0.807630
2026-06-22T22:34:31,idle,ue3,3092153,785996.6099577462,0.785997
2026-06-22T22:34:31,idle,ue4,3092162,822051.4927564287,0.822051
2026-06-22T22:34:31,idle,ue5,3092895,836473.469439683,0.836473
2026-06-22T22:34:31,idle,ue6,3092903,814840.5044148016,0.814841
2026-06-22T22:34:31,idle,ue7,3092913,800418.5866410005,0.800419
2026-06-22T22:34:31,idle,ue8,3092922,800418.5866410005,0.800419
2026-06-22T22:34:36,idle,cu_cp,3091903,322499.32349916815,0.322499
2026-06-22T22:34:36,idle,cu_up,3091911,322499.32349916815,0.322499
2026-06-22T22:34:36,idle,du1,3092092,2908578.895287752,2.908579
2026-06-22T22:34:36,idle,du2,3092853,2896409.0452008964,2.896409
2026-06-22T22:34:36,idle,ue1,3092136,815375.6081853461,0.815376
2026-06-22T22:34:36,idle,ue2,3092145,809290.8006455398,0.809291
2026-06-22T22:34:36,idle,ue3,3092153,791036.1430188775,0.791036
2026-06-22T22:34:36,idle,ue4,3092162,809290.8006455398,0.809291
2026-06-22T22:34:36,idle,ue5,3092895,742356.9189268863,0.742357
2026-06-22T22:34:36,idle,ue6,3092903,797120.9505586838,0.797121
2026-06-22T22:34:36,idle,ue7,3092913,784951.1592236388,0.784951
2026-06-22T22:34:36,idle,ue8,3092922,809290.8006455398,0.809291
2026-06-22T22:34:41,idle,cu_cp,3091903,330067.6731955004,0.330068
2026-06-22T22:34:41,idle,cu_up,3091911,330067.6731955004,0.330068
2026-06-22T22:34:41,idle,du1,3092092,3030129.58713315,3.030130
2026-06-22T22:34:41,idle,du2,3092853,3035540.6628283598,3.035541
2026-06-22T22:34:41,idle,ue1,3092136,827874.7208363557,0.827875
2026-06-22T22:34:41,idle,ue2,3092145,817052.8065866018,0.817053
2026-06-22T22:34:41,idle,ue3,3092153,817052.8065866018,0.817053
2026-06-22T22:34:41,idle,ue4,3092162,817052.8065866018,0.817053
2026-06-22T22:34:41,idle,ue5,3092895,833285.6186760664,0.833286
2026-06-22T22:34:41,idle,ue6,3092903,800819.9352119708,0.800820
2026-06-22T22:34:41,idle,ue7,3092913,784587.1231225062,0.784587
2026-06-22T22:34:41,idle,ue8,3092922,811641.9087468911,0.811642
2026-06-22T22:34:47,idle,cu_cp,3091903,331617.9365585089,0.331618
2026-06-22T22:34:47,idle,cu_up,3091911,322573.8257852268,0.322574
2026-06-22T22:34:47,idle,du1,3092092,2993605.6579536437,2.993606
2026-06-22T22:34:47,idle,du2,3092853,3023752.8317106627,3.023753
2026-06-22T22:34:47,idle,ue1,3092136,829044.8561654949,0.829045
2026-06-22T22:34:47,idle,ue2,3092145,792868.3539954758,0.792868
2026-06-22T22:34:47,idle,ue3,3092153,783824.2727606392,0.783824
2026-06-22T22:34:47,idle,ue4,3092162,801912.4943072033,0.801912
2026-06-22T22:34:47,idle,ue5,3092895,792868.3539954758,0.792868
2026-06-22T22:34:47,idle,ue6,3092903,816986.0221088219,0.816986
2026-06-22T22:34:47,idle,ue7,3092913,786838.9074286937,0.786839
2026-06-22T22:34:47,idle,ue8,3092922,813971.3874407673,0.813971
2026-06-22T22:34:52,idle,cu_cp,3091903,326735.72466808854,0.326736
2026-06-22T22:34:52,idle,cu_up,3091911,326735.72466808854,0.326736
2026-06-22T22:34:52,idle,du1,3092092,2995077.4465212943,2.995077
2026-06-22T22:34:52,idle,du2,3092853,3004153.443806994,3.004153
2026-06-22T22:34:52,idle,ue1,3092136,792636.7015797734,0.792637
2026-06-22T22:34:52,idle,ue2,3092145,804737.991823572,0.804738
2026-06-22T22:34:52,idle,ue3,3092153,822889.9863949716,0.822890
2026-06-22T22:34:52,idle,ue4,3092162,816839.3412730724,0.816839
2026-06-22T22:34:52,idle,ue5,3092895,807763.2847816705,0.807763
2026-06-22T22:34:52,idle,ue6,3092903,838016.6288025707,0.838017
2026-06-22T22:34:52,idle,ue7,3092913,813813.9891092718,0.813814
2026-06-22T22:34:52,idle,ue8,3092922,816839.3412730724,0.816839
2026-06-22T22:34:58,idle,cu_cp,3091903,334553.41799186467,0.334553
2026-06-22T22:34:58,idle,cu_up,3091911,328525.4506210238,0.328525
2026-06-22T22:34:58,idle,du1,3092092,3035092.8683084967,3.035093
2026-06-22T22:34:58,idle,du2,3092853,3038106.6891263006,3.038107
2026-06-22T22:34:58,idle,ue1,3092136,831862.6360791922,0.831863
2026-06-22T22:34:58,idle,ue2,3092145,810764.5874136329,0.810765
2026-06-22T22:34:58,idle,ue3,3092153,819806.6421129226,0.819807
2026-06-22T22:34:58,idle,ue4,3092162,810764.5874136329,0.810765
2026-06-22T22:34:58,idle,ue5,3092895,807750.6481466532,0.807751
2026-06-22T22:34:58,idle,ue6,3092903,831862.6360791922,0.831863
2026-06-22T22:34:58,idle,ue7,3092913,819806.6421129226,0.819807
2026-06-22T22:34:58,idle,ue8,3092922,816792.6436213553,0.816793
2026-06-22T22:35:03,idle,cu_cp,3091903,325802.40496135113,0.325802
2026-06-22T22:35:03,idle,cu_up,3091911,322785.7034098822,0.322786
2026-06-22T22:35:03,idle,du1,3092092,3013672.0829732562,3.013672
2026-06-22T22:35:03,idle,du2,3092853,3016688.9918764876,3.016689
2026-06-22T22:35:03,idle,ue1,3092136,850706.2236692428,0.850706
2026-06-22T22:35:03,idle,ue2,3092145,799422.6231327546,0.799423
2026-06-22T22:35:03,idle,ue3,3092153,832606.0736037898,0.832606
2026-06-22T22:35:03,idle,ue4,3092162,811489.3700952696,0.811489
2026-06-22T22:35:03,idle,ue5,3092895,823556.057814424,0.823556
2026-06-22T22:35:03,idle,ue6,3092903,850706.2236692428,0.850706
2026-06-22T22:35:03,idle,ue7,3092913,820539.3266412747,0.820539
2026-06-22T22:35:03,idle,ue8,3092922,838639.4767067278,0.838639
2026-06-22T22:35:08,idle,cu_cp,3091903,326974.3015365255,0.326974
2026-06-22T22:35:08,idle,cu_up,3091911,333029.39325574995,0.333029
2026-06-22T22:35:08,idle,du1,3092092,2991209.6252102326,2.991210
2026-06-22T22:35:08,idle,du2,3092853,3006347.0584621145,3.006347
2026-06-22T22:35:08,idle,ue1,3092136,832573.4535347569,0.832573
2026-06-22T22:35:08,idle,ue2,3092145,817435.7834459316,0.817436
2026-06-22T22:35:08,idle,ue3,3092153,847711.182832818,0.847711
2026-06-22T22:35:08,idle,ue4,3092162,850738.7286924303,0.850739
2026-06-22T22:35:08,idle,ue5,3092895,838628.6044632173,0.838629
2026-06-22T22:35:08,idle,ue6,3092903,817435.7834459316,0.817436
2026-06-22T22:35:08,idle,ue7,3092913,811380.6917267073,0.811381
2026-06-22T22:35:08,idle,ue8,3092922,835601.058603605,0.835601
2026-06-22T22:35:14,idle,cu_cp,3091903,329724.97191941144,0.329725
2026-06-22T22:35:14,idle,cu_up,3091911,332989.5882623166,0.332990
2026-06-22T22:35:14,idle,du1,3092092,3013229.2571252347,3.013229
2026-06-22T22:35:14,idle,du2,3092853,3016493.724780464,3.016494
2026-06-22T22:35:14,idle,ue1,3092136,825944.6933636784,0.825945
2026-06-22T22:35:14,idle,ue2,3092145,816150.9335475683,0.816151
