timestamp,phase,component,pid,microwatts,watts
2026-06-28T02:44:33,idle,cu_cp,593939,260307.72193369092,0.260308
2026-06-28T02:44:33,idle,cu_up,593966,251011.0157423818,0.251011
2026-06-28T02:44:33,idle,du1,594103,2330373.9405711032,2.330374
2026-06-28T02:44:33,idle,du2,594724,2376857.420104685,2.376857
2026-06-28T02:44:33,idle,du3,595358,2401648.6366148423,2.401649
2026-06-28T02:44:33,idle,ue1,594168,560901.1706963879,0.560901
2026-06-28T02:44:33,idle,ue5,594789,573296.7789514667,0.573297
2026-06-28T02:44:33,idle,ue9,595422,548505.5624413091,0.548506
2026-06-28T02:44:38,idle,cu_cp,593939,244325.32638716698,0.244325
2026-06-28T02:44:38,idle,cu_up,593966,252292.46996676922,0.252292
2026-06-28T02:44:38,idle,du1,594103,2384827.749314904,2.384828
2026-06-28T02:44:38,idle,du2,594724,2390138.973340988,2.390139
2026-06-28T02:44:38,idle,du3,595358,2382172.03478837,2.382172
2026-06-28T02:44:38,idle,ue1,594168,573633.3638531864,0.573633
2026-06-28T02:44:38,idle,ue5,594789,560354.842477262,0.560355
2026-06-28T02:44:38,idle,ue9,595422,509896.3689866066,0.509896
2026-06-28T02:44:43,idle,cu_cp,593939,244339.1662431985,0.244339
2026-06-28T02:44:43,idle,cu_up,593966,249768.91806925685,0.249769
2026-06-28T02:44:43,idle,du1,594103,2402668.4594922066,2.402668
2026-06-28T02:44:43,idle,du2,594724,2413528.117330742,2.413528
2026-06-28T02:44:43,idle,du3,595358,2399953.7506144643,2.399954
2026-06-28T02:44:43,idle,ue1,594168,564695.0122376323,0.564695
2026-06-28T02:44:43,idle,ue5,594789,521256.89483821986,0.521257
2026-06-28T02:44:43,idle,ue9,595422,518542.03177405894,0.518542
2026-06-28T02:44:49,idle,cu_cp,593939,248141.7818555957,0.248142
2026-06-28T02:44:49,idle,cu_up,593966,253781.3713237819,0.253781
2026-06-28T02:44:49,idle,du1,594103,2399644.067861068,2.399644
2026-06-28T02:44:49,idle,du2,594724,2351707.49290457,2.351707
2026-06-28T02:44:49,idle,du3,595358,2430661.6938776444,2.430662
2026-06-28T02:44:49,idle,ue1,594168,541400.279456681,0.541400
2026-06-28T02:44:49,idle,ue5,594789,521661.7292134124,0.521662
2026-06-28T02:44:49,idle,ue9,595422,552679.4583930534,0.552679
2026-06-28T02:44:54,idle,cu_cp,593939,247542.1549604088,0.247542
2026-06-28T02:44:54,idle,cu_up,593966,253168.08559787154,0.253168
2026-06-28T02:44:54,idle,du1,594103,2396658.0071000145,2.396658
2026-06-28T02:44:54,idle,du2,594724,2354463.540158534,2.354464
2026-06-28T02:44:54,idle,du3,595358,2388219.072625351,2.388219
2026-06-28T02:44:54,idle,ue1,594168,579473.654667455,0.579474
2026-06-28T02:44:54,idle,ue5,594789,554156.8512434638,0.554157
2026-06-28T02:44:54,idle,ue9,595422,554156.8512434638,0.554157
2026-06-28T02:44:59,idle,cu_cp,593939,249712.66855906337,0.249713
2026-06-28T02:44:59,idle,cu_up,593966,252518.42570850224,0.252518
2026-06-28T02:44:59,idle,du1,594103,2390507.7599525,2.390508
2026-06-28T02:44:59,idle,du2,594724,2376478.974205306,2.376479
2026-06-28T02:44:59,idle,du3,595358,2396119.2742513777,2.396119
2026-06-28T02:44:59,idle,ue1,594168,527482.9599323344,0.527483
2026-06-28T02:44:59,idle,ue5,594789,521871.4456334567,0.521871
2026-06-28T02:44:59,idle,ue9,595422,519065.68848401785,0.519066
2026-06-28T02:45:04,idle,cu_cp,593939,250478.0882098642,0.250478
2026-06-28T02:45:04,idle,cu_up,593966,250478.0882098642,0.250478
2026-06-28T02:45:04,idle,du1,594103,2389392.135444646,2.389392
2026-06-28T02:45:04,idle,du2,594724,2358434.1275716424,2.358434
2026-06-28T02:45:04,idle,du3,595358,2417535.6292822454,2.417536
2026-06-28T02:45:04,idle,ue1,594168,591015.6860033352,0.591016
2026-06-28T02:45:04,idle,ue5,594789,509399.2554431915,0.509399
2026-06-28T02:45:04,idle,ue9,595422,554429.0102349949,0.554429
2026-06-28T02:45:10,idle,cu_cp,593939,244546.27625216186,0.244546
2026-06-28T02:45:10,idle,cu_up,593966,252978.8896550709,0.252979
2026-06-28T02:45:10,idle,du1,594103,2397677.7821620465,2.397678
2026-06-28T02:45:10,idle,du2,594724,2366757.977285366,2.366758
2026-06-28T02:45:10,idle,du3,595358,2403299.490215368,2.403299
2026-06-28T02:45:10,idle,ue1,594168,573418.840502193,0.573419
2026-06-28T02:45:10,idle,ue5,594789,514390.3927130508,0.514390
2026-06-28T02:45:10,idle,ue9,595422,548120.8976476133,0.548121
2026-06-28T02:45:15,idle,cu_cp,593939,260229.51327432634,0.260230
2026-06-28T02:45:15,idle,cu_up,593966,257400.91279314042,0.257401
2026-06-28T02:45:15,idle,du1,594103,2412779.9856050108,2.412780
2026-06-28T02:45:15,idle,du2,594724,2390151.388441467,2.390151
2026-06-28T02:45:15,idle,du3,595358,2429751.5884921267,2.429752
2026-06-28T02:45:15,idle,ue1,594168,613802.170698471,0.613802
