timestamp,component,pid,microwatts,watts
2026-05-17T08:27:46,du_b3,3753065,3117489.410459161,3.117489
2026-05-17T08:27:51,cu_cp,3751340,184665.43546534746,0.184665
2026-05-17T08:27:51,cu_up,3751963,184665.43546534746,0.184665
2026-05-17T08:27:51,cu_cp2,3751344,181587.68846302776,0.181588
2026-05-17T08:27:51,cu_up2,3751962,178509.92715079724,0.178510
2026-05-17T08:27:51,du1,3753086,2982346.8335655453,2.982347
2026-05-17T08:27:51,du2,3753063,2960802.7476484156,2.960803
2026-05-17T08:27:51,du3,3753094,2994657.9360541105,2.994658
2026-05-17T08:27:51,du_b,3753088,3197789.9823225737,3.197790
2026-05-17T08:27:51,du_b2,3753079,3123923.5963497544,3.123924
2026-05-17T08:27:51,du_b3,3753065,3133157.037695465,3.133157
2026-05-17T08:27:56,cu_cp,3751340,179631.82203927785,0.179632
2026-05-17T08:27:56,cu_up,3751963,176424.11016603262,0.176424
2026-05-17T08:27:56,cu_cp2,3751344,176424.11016603262,0.176424
2026-05-17T08:27:56,cu_up2,3751962,182839.5196250379,0.182840
2026-05-17T08:27:56,du1,3753086,2941471.1019665957,2.941471
2026-05-17T08:27:56,du2,3753063,2931847.96634686,2.931848
2026-05-17T08:27:56,du3,3753094,2989586.5514655113,2.989587
2026-05-17T08:27:56,du_b,3753088,3172426.12824049,3.172426
2026-05-17T08:27:56,du_b2,3753079,3101856.6956288577,3.101857
2026-05-17T08:27:56,du_b3,3753065,3101856.6956288577,3.101857
2026-05-17T08:28:01,cu_cp,3751340,186433.7403630209,0.186434
2026-05-17T08:28:01,cu_up,3751963,183219.35667387486,0.183219
2026-05-17T08:28:01,cu_cp2,3751344,180004.9872516024,0.180005
2026-05-17T08:28:01,cu_up2,3751962,186433.7403630209,0.186434
2026-05-17T08:28:01,du1,3753086,2957225.0045651435,2.957225
2026-05-17T08:28:01,du2,3753063,2944367.241538582,2.944367
2026-05-17T08:28:01,du3,3753094,3015083.682699795,3.015084
2026-05-17T08:28:01,du_b,3753088,3185445.447549591,3.185445
2026-05-17T08:28:01,du_b2,3753079,3121157.7737666704,3.121158
2026-05-17T08:28:01,du_b3,3753065,3121157.7737666704,3.121158
2026-05-17T08:28:07,cu_cp,3751340,180357.36312706186,0.180357
2026-05-17T08:28:07,cu_up,3751963,177136.6987381573,0.177137
2026-05-17T08:28:07,cu_cp2,3751344,177136.6987381573,0.177137
2026-05-17T08:28:07,cu_up2,3751962,180357.36312706186,0.180357
2026-05-17T08:28:07,du1,3753086,2956572.4265888906,2.956572
2026-05-17T08:28:07,du2,3753063,2943689.997903681,2.943690
2026-05-17T08:28:07,du3,3753094,3014544.385589173,3.014544
2026-05-17T08:28:07,du_b,3753088,3188460.491460428,3.188460
2026-05-17T08:28:07,du_b2,3753079,3114385.210515623,3.114385
2026-05-17T08:28:07,du_b3,3753065,3114385.210515623,3.114385
2026-05-17T08:28:12,cu_cp,3751340,183405.5693936859,0.183406
2026-05-17T08:28:12,cu_up,3751963,183405.5693936859,0.183406
