Connecting to host 10.45.1.17, port 53161
[  5] local 10.45.1.1 port 59882 connected to 10.45.1.17 port 53161
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   656 KBytes  5.37 Mbits/sec    0   58.0 KBytes       
[  5]   1.00-2.00   sec   573 KBytes  4.69 Mbits/sec    0   82.0 KBytes       
[  5]   2.00-3.00   sec   636 KBytes  5.21 Mbits/sec    0    109 KBytes       
[  5]   3.00-4.00   sec   827 KBytes  6.78 Mbits/sec    0    139 KBytes       
[  5]   4.00-5.00   sec   700 KBytes  5.73 Mbits/sec    0    171 KBytes       
[  5]   5.00-6.00   sec   827 KBytes  6.78 Mbits/sec    0    205 KBytes       
[  5]   6.00-7.00   sec   954 KBytes  7.82 Mbits/sec    0    236 KBytes       
[  5]   7.00-8.00   sec   573 KBytes  4.69 Mbits/sec    0    298 KBytes       
[  5]   8.00-9.00   sec  1.37 MBytes  11.5 Mbits/sec    0    392 KBytes       
[  5]   9.00-10.00  sec   954 KBytes  7.82 Mbits/sec    0    506 KBytes       
[  5]  10.00-11.00  sec  1.18 MBytes  9.91 Mbits/sec    0    665 KBytes       
[  5]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    824 KBytes       
[  5]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0   1015 KBytes       
[  5]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.21 MBytes       
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   1.43 MBytes       
[  5]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0   1.72 MBytes       
[  5]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.03 MBytes       
[  5]  17.00-18.00  sec  1.10 MBytes  9.19 Mbits/sec    0   2.39 MBytes       
[  5]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   2.72 MBytes       
[  5]  19.00-20.00  sec  1.14 MBytes  9.60 Mbits/sec    0   3.03 MBytes       
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0   3.33 MBytes       
[  5]  21.00-22.00  sec  1.07 MBytes  8.99 Mbits/sec    0   3.70 MBytes       
[  5]  22.00-23.00  sec  1.22 MBytes  10.2 Mbits/sec    0   3.98 MBytes       
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec  123   2.38 MBytes       
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec   23   1.77 MBytes       
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec  197   1.13 MBytes       
[  5]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec  265   1.71 MBytes       
[  5]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0   1.71 MBytes       
[  5]  28.00-29.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.98 MBytes       
[  5]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   3.03 MBytes       
[  5]  30.00-31.00  sec  1011 KBytes  8.28 Mbits/sec    0   3.11 MBytes       
[  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec   62   1.68 MBytes       
