Connecting to host 10.45.1.7, port 5361
[  5] local 10.45.1.1 port 35414 connected to 10.45.1.7 port 5361
[  5]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    0   2.79 MBytes       
[  5]  66.00-67.00  sec  1.20 MBytes  10.1 Mbits/sec    0   3.11 MBytes       
[  5]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    0   3.45 MBytes       
[  5]  68.00-69.00  sec  1.24 MBytes  10.4 Mbits/sec    0   3.79 MBytes       
[  5]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec    0   4.11 MBytes       
[  5]  70.00-71.00  sec  1.22 MBytes  10.3 Mbits/sec  264   2.49 MBytes       
[  5]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec  190   1.69 MBytes       
[  5]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec   98    836 KBytes       
[  5]  73.00-74.00  sec  1.25 MBytes  10.5 Mbits/sec  247   1.85 MBytes       
[  5]  74.00-75.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.95 MBytes       
[  5]  75.00-76.00  sec   994 KBytes  8.15 Mbits/sec    0   3.00 MBytes       
[  5]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec    1   1.96 MBytes       
[  5]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec    0   1.31 MBytes       
[  5]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec    0    643 KBytes       
[  5]  79.00-80.00  sec  2.50 MBytes  21.0 Mbits/sec  196   2.10 MBytes       
[  5]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec   12   1.70 MBytes       
[  5]  81.00-82.00  sec  1.25 MBytes  10.5 Mbits/sec  376    841 KBytes       
[  5]  82.00-83.00  sec  0.00 Bytes  0.00 bits/sec  354   1.28 MBytes       
[  5]  83.00-84.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.36 MBytes       
[  5]  84.00-85.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.50 MBytes       
[  5]  85.00-86.00  sec  0.00 Bytes  0.00 bits/sec    0   1.54 MBytes       
[  5]  86.00-87.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.59 MBytes       
[  5]  87.00-88.00  sec  0.00 Bytes  0.00 bits/sec    0   1.64 MBytes       
[  5]  88.00-89.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.69 MBytes       
[  5]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    0   1.72 MBytes       
[  5]  90.00-91.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.75 MBytes       
[  5]  91.00-92.00  sec  0.00 Bytes  0.00 bits/sec    0   1.76 MBytes       
[  5]  92.00-93.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.77 MBytes       
[  5]  93.00-94.00  sec  0.00 Bytes  0.00 bits/sec    0   1.78 MBytes       
[  5]  94.00-95.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.79 MBytes       
[  5]  95.00-96.00  sec  0.00 Bytes  0.00 bits/sec    0   1.80 MBytes       
[  5]  96.00-97.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.81 MBytes       
[  5]  97.00-98.00  sec  0.00 Bytes  0.00 bits/sec    8   1.80 MBytes       
[  5]  98.00-99.00  sec  0.00 Bytes  0.00 bits/sec    0   1.58 MBytes       
