Connecting to host 10.45.1.7, port 5361
[  5] local 10.45.1.1 port 35414 connected to 10.45.1.7 port 5361
[  5] 285.00-286.00 sec  1.25 MBytes  10.5 Mbits/sec    0    436 KBytes       
[  5] 286.00-287.00 sec  0.00 Bytes  0.00 bits/sec    0    461 KBytes       
[  5] 287.00-288.00 sec  1.25 MBytes  10.5 Mbits/sec    0    489 KBytes       
[  5] 288.00-289.00 sec  0.00 Bytes  0.00 bits/sec    1    426 KBytes       
[  5] 289.00-290.00 sec  1.25 MBytes  10.5 Mbits/sec    0    359 KBytes       
[  5] 290.00-291.00 sec  0.00 Bytes  0.00 bits/sec    0    387 KBytes       
[  5] 291.00-292.00 sec  1.25 MBytes  10.5 Mbits/sec    0    407 KBytes       
[  5] 292.00-293.00 sec  1.25 MBytes  10.5 Mbits/sec    0    419 KBytes       
[  5] 293.00-294.00 sec  0.00 Bytes  0.00 bits/sec    0    423 KBytes       
[  5] 294.00-295.00 sec  1.25 MBytes  10.5 Mbits/sec    0    424 KBytes       
[  5] 295.00-296.00 sec  0.00 Bytes  0.00 bits/sec    0    426 KBytes       
[  5] 296.00-297.00 sec  1.25 MBytes  10.5 Mbits/sec    0    428 KBytes       
[  5] 297.00-298.00 sec  0.00 Bytes  0.00 bits/sec    0    440 KBytes       
[  5] 298.00-299.00 sec  1.25 MBytes  10.5 Mbits/sec    0    460 KBytes       
[  5] 299.00-300.00 sec  0.00 Bytes  0.00 bits/sec    0    494 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-300.00 sec   199 MBytes  5.56 Mbits/sec  5743             sender
[  5]   0.00-300.83 sec   197 MBytes  5.48 Mbits/sec                  receiver

iperf Done.
