Connecting to host 10.45.1.15, port 53141
[  5] local 10.45.1.1 port 53806 connected to 10.45.1.15 port 53141
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   888 KBytes  7.27 Mbits/sec    0   67.9 KBytes       
[  5]   1.00-2.00   sec   827 KBytes  6.78 Mbits/sec    0    103 KBytes       
[  5]   2.00-3.00   sec   827 KBytes  6.78 Mbits/sec    0    136 KBytes       
[  5]   3.00-4.00   sec   700 KBytes  5.73 Mbits/sec    0    167 KBytes       
[  5]   4.00-5.00   sec   764 KBytes  6.26 Mbits/sec    0    201 KBytes       
[  5]   5.00-6.00   sec   954 KBytes  7.82 Mbits/sec    0    235 KBytes       
[  5]   6.00-7.00   sec  1.06 MBytes  8.86 Mbits/sec    0    269 KBytes       
[  5]   7.00-8.00   sec   636 KBytes  5.21 Mbits/sec    0    305 KBytes       
[  5]   8.00-9.00   sec   700 KBytes  5.73 Mbits/sec    0    393 KBytes       
[  5]   9.00-10.00  sec  1.80 MBytes  15.1 Mbits/sec    0    519 KBytes       
[  5]  10.00-11.00  sec  1.24 MBytes  10.4 Mbits/sec    0    656 KBytes       
[  5]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0    830 KBytes       
[  5]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1015 KBytes       
[  5]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   1.21 MBytes       
[  5]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.44 MBytes       
[  5]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0   1.68 MBytes       
[  5]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   2.01 MBytes       
[  5]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.36 MBytes       
[  5]  18.00-19.00  sec  1.02 MBytes  8.55 Mbits/sec    0   2.68 MBytes       
[  5]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   3.01 MBytes       
[  5]  20.00-21.00  sec  1.24 MBytes  10.4 Mbits/sec    0   3.35 MBytes       
[  5]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   3.70 MBytes       
[  5]  22.00-23.00  sec  1.23 MBytes  10.3 Mbits/sec   28   2.47 MBytes       
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0   1.79 MBytes       
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec  262   1.11 MBytes       
[  5]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec  225   2.00 MBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    8    710 KBytes       
[  5]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec   33   76.4 KBytes       
[  5]  28.00-29.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.95 MBytes       
[  5]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec  292    803 KBytes       
[  5]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec  490    950 KBytes       
[  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec   77   1.18 MBytes       
[  5]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0    782 KBytes       
[  5]  33.00-34.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.39 MBytes       
[  5]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   1.43 MBytes       
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    7   1.33 MBytes       
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    9   1.10 MBytes       
[  5]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec   19   1005 KBytes       
[  5]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0    754 KBytes       
[  5]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec    0    723 KBytes       
[  5]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0    745 KBytes       
[  5]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0    783 KBytes       
[  5]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    0    817 KBytes       
[  5]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0    843 KBytes       
[  5]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0    860 KBytes       
[  5]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    0    868 KBytes       
[  5]  46.00-47.00  sec  1.25 MBytes  10.5 Mbits/sec    0    872 KBytes       
[  5]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec    0    875 KBytes       
[  5]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec    0    880 KBytes       
[  5]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    0    888 KBytes       
[  5]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    0    902 KBytes       
[  5]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0    929 KBytes       
[  5]  52.00-53.00  sec  1.25 MBytes  10.5 Mbits/sec    0    967 KBytes       
[  5]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    4    959 KBytes       
[  5]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    0    758 KBytes       
[  5]  55.00-56.00  sec  1.25 MBytes  10.5 Mbits/sec    4    694 KBytes       
[  5]  56.00-57.00  sec  1.25 MBytes  10.5 Mbits/sec    0    506 KBytes       
[  5]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0    529 KBytes       
[  5]  58.00-59.00  sec  1.25 MBytes  10.5 Mbits/sec    0    561 KBytes       
[  5]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec    0    585 KBytes       
[  5]  60.00-61.00  sec  1.25 MBytes  10.5 Mbits/sec    0    602 KBytes       
