timestamp,component,pid,microwatts,watts
2026-08-03T19:16:49,cu_cp,128882,160876.78631801903,0.160877
2026-08-03T19:16:49,cu_up,129160,164707.18349259347,0.164707
2026-08-03T19:16:49,du,1233344,2064585.3762960434,2.064585
2026-08-03T19:16:49,du2,1246051,1980316.5597159863,1.980317
2026-08-03T19:16:49,du3,1253447,1919030.2049227953,1.919030
2026-08-03T19:16:49,du4,1260366,2053094.250388503,2.053094
2026-08-03T19:16:49,du5,1267510,1980316.5597159863,1.980317
2026-08-03T19:16:49,du6,1288697,1884556.6172283888,1.884557
2026-08-03T19:16:59,cu_cp,128882,165389.5225953828,0.165390
2026-08-03T19:16:59,cu_up,129160,165389.5225953828,0.165390
2026-08-03T19:16:59,du,1233344,2042201.1182843114,2.042201
2026-08-03T19:16:59,du2,1246051,1955910.8215057254,1.955911
2026-08-03T19:16:59,du3,1253447,1912765.7773924684,1.912766
2026-08-03T19:16:59,du4,1260366,2035010.2428400898,2.035010
2026-08-03T19:16:59,du5,1267510,1959506.259227836,1.959506
2026-08-03T19:16:59,du6,1288697,1855238.9823907686,1.855239
2026-08-03T19:17:09,cu_cp,128882,172685.21875755786,0.172685
2026-08-03T19:17:09,cu_up,129160,172685.21875755786,0.172685
2026-08-03T19:17:09,du,1233344,2031591.0404403687,2.031591
2026-08-03T19:17:09,du2,1246051,1957099.4048646926,1.957099
2026-08-03T19:17:09,du3,1253447,1913081.535460472,1.913082
2026-08-03T19:17:09,du4,1260366,2024818.8852457046,2.024819
2026-08-03T19:17:09,du5,1267510,1946941.275650978,1.946941
2026-08-03T19:17:09,du6,1288697,1858905.7439990998,1.858906
2026-08-03T19:17:20,cu_cp,128882,167692.93077492266,0.167693
2026-08-03T19:17:20,cu_up,129160,164468.06145696045,0.164468
2026-08-03T19:17:20,du,1233344,2041339.0061968802,2.041339
2026-08-03T19:17:20,du2,1246051,1963942.2468549728,1.963942
2026-08-03T19:17:20,du3,1253447,1892995.1479321003,1.892995
2026-08-03T19:17:20,du4,1260366,2034889.1371994733,2.034889
2026-08-03T19:17:20,du5,1267510,1954267.5476480485,1.954268
