Connecting to host 10.45.1.3, port 5321
[  5] local 10.45.1.1 port 60198 connected to 10.45.1.3 port 5321
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.06 MBytes  8.88 Mbits/sec    0   74.9 KBytes       
[  5]   1.00-2.00   sec   891 KBytes  7.30 Mbits/sec    0    109 KBytes       
[  5]   2.00-3.00   sec   891 KBytes  7.30 Mbits/sec    0    150 KBytes       
[  5]   3.00-4.00   sec  1.18 MBytes  9.91 Mbits/sec    0    192 KBytes       
[  5]   4.00-5.00   sec   954 KBytes  7.82 Mbits/sec    0    230 KBytes       
[  5]   5.00-6.00   sec   509 KBytes  4.17 Mbits/sec    0    270 KBytes       
[  5]   6.00-7.00   sec  1.18 MBytes  9.90 Mbits/sec    0    308 KBytes       
[  5]   7.00-8.00   sec   636 KBytes  5.21 Mbits/sec    0    346 KBytes       
[  5]   8.00-9.00   sec  1.49 MBytes  12.5 Mbits/sec    0    395 KBytes       
[  5]   9.00-10.00  sec   954 KBytes  7.82 Mbits/sec    0    506 KBytes       
[  5]  10.00-11.00  sec  1.12 MBytes  9.38 Mbits/sec    0    649 KBytes       
[  5]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    814 KBytes       
[  5]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0   1017 KBytes       
[  5]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.20 MBytes       
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   1.44 MBytes       
[  5]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.68 MBytes       
[  5]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   2.01 MBytes       
[  5]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.37 MBytes       
[  5]  18.00-19.00  sec  1.03 MBytes  8.66 Mbits/sec    0   2.74 MBytes       
[  5]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   3.10 MBytes       
[  5]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.48 MBytes       
[  5]  21.00-22.00  sec  1.23 MBytes  10.3 Mbits/sec    0   3.85 MBytes       
[  5]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec   66   2.12 MBytes       
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec  195   1.38 MBytes       
